date,mean_temp,max_temp,min_temp,humidity,mean_rain_fall,mean_wind
29/9/2017,27.46,31.8,22.7,80.91,14,5.18
30/9/2017,27.81,31.5,24.5,79.16,0,6.42
1/10/2017,27.2,31.3,24.6,86.89,6,4.57
2/10/2017,27.82,33.7,24.1,79.91,0,
3/10/2017,27.56,32.9,24.3,85.41,6,4.38
4/10/2017,26.05,29.3,22.6,86.72,6,5.04
5/10/2017,27.5,33.4,23.6,80.22,4,5
6/10/2017,28.08,34.5,23.4,80.22,10,
7/10/2017,27.67,34.3,22.8,81.84,10,4.76
8/10/2017,27.33,33.5,24,84.78,12,4.79
9/10/2017,28.22,33.8,23.2,78.39,12,6.25
10/10/2017,27.91,33.3,23.4,80.41,8,6.28
11/10/2017,28.23,33.4,22.8,77.93,6,
12/10/2017,27.15,30.5,22.9,85.69,18,5.2
13/10/2017,27.2,31.7,23.6,80.99,2,5.96
14/10/2017,29.24,33.6,24.8,71.47,0,5.93
15/10/2017,29.81,35,24.6,72.07,0,4.99
16/10/2017,28.76,34,23.9,75.9,0,6.07
17/10/2017,29.96,35.8,25.6,68.14,0,5.33
18/10/2017,30.2,35.8,25.8,71.34,0,5.52
19/10/2017,29.95,34.7,25.7,70.02,0,5.36
20/10/2017,29.93,35.1,25.2,69.14,0,5.42
21/10/2017,29.73,35.4,24.7,,2,5.37
22/10/2017,28.76,33.3,24.6,77.9,0,5.58
23/10/2017,28.57,32.1,22.9,79.07,2,
24/10/2017,28.04,32.7,23.9,,4,4.24
25/10/2017,28.3,35.3,23.5,77.44,2,5.04
26/10/2017,28.32,34,24,79.83,2,5.32
27/10/2017,27.84,32,24.2,80,2,4.73
28/10/2017,28.77,34.6,24,72.45,0,
29/10/2017,27.27,32.9,23.7,80.87,4,4.69
30/10/2017,26.91,30.4,23.9,85.5,18,4.9
31/10/2017,26.44,30.8,23,87.69,2,4.8
1/11/2017,27.67,33.7,23.8,,0,4.59
2/11/2017,27.95,32.5,24.1,79.96,0,4.84
3/11/2017,28.06,33.1,22.9,79.81,12,6.07
4/11/2017,27.4,33.1,23.4,83.15,6,5.53
5/11/2017,28.14,33.2,24.1,,2,5.49
6/11/2017,26.77,35.1,19.1,85.69,34,4.63
7/11/2017,26.98,31.4,23,86.86,4,4.38
8/11/2017,,,,83.31,4,7.26
9/11/2017,,,,85.16,20,5.66
10/11/2017,26.24,33.1,22.8,86.13,14,4.75
11/11/2017,26.12,31.7,23.7,90.08,10,4.41
12/11/2017,27.41,32,23.8,83.51,4,
13/11/2017,27.82,34.1,24.1,83.41,4,5.52
14/11/2017,26.05,28.9,22.7,90.12,38,
15/11/2017,,,,81.19,0,5.19
16/11/2017,28.21,34.3,24.5,82.4,4,5.09
17/11/2017,,,,86.01,6,6.21
18/11/2017,,,,83.43,8,4.87
19/11/2017,28.31,33.3,24.4,80.61,0,
20/11/2017,27.79,32.1,23.8,83.77,4,5.69
21/11/2017,26.37,29.4,22.3,89.94,6,4.46
22/11/2017,27.59,34.7,22.6,82.46,8,4.94
23/11/2017,,,,,8,
24/11/2017,26.62,30.8,23.5,86.55,4,6.05
25/11/2017,27.45,32.9,24.1,83.55,12,
26/11/2017,26.96,32,23.6,87.22,2,
